=== NPC Trace: chicken_60 ===
Abilities: [1, 1, 1, 3]
Simulation: M=64, N_coop=4, k=4, T=256
============================================================

Tourn Step |              Pre-Location -> Post-Location             | Action                             | W/L   | share_obs              | transfer     | extend_own
T 141 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 141 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T 141 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T 141 step  9 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 2 |                        |              | 
T 141 step 10 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 141 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 141 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 141 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 141 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 141 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 141 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 142 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop3 | a_move->coop3                      | W 1/L 0 |                        |              | 
  --- Tournament 142 closed | sack: 1 (+0) ---

T 142 step  2 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 0 |                        |              | 
T 142 step  3 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 0 |                        |              | 
T 142 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T 142 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 142 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T 142 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 2 |                        |              | 
T 142 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 6/L 2 |                        |              | 
T 142 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 7/L 2 |                        |              | 
T 142 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 8/L 2 |                        |              | 
T 142 step 11 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 8/L 2 |                        |              | 
T 142 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 8/L 2 |                        |              | 
T 142 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 8/L 2 |                        |              | 
T 142 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 8/L 2 |                        |              | 
T 142 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 8/L 2 |                        |              | 
T 142 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 8/L 2 |                        |              | 
T 142 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 8/L 2 |                        |              | 
T 143 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop3 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 143 closed | sack: 1 (+0) ---

T 143 step  2 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 0 |                        |              | 
T 143 step  3 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T 143 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T 143 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T 143 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 143 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T 143 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 3 |                        |              | 
T 143 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 3 |                        |              | 
T 143 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 4 |                        |              | 
T 143 step 11 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 5/L 4 |                        |              | 
T 143 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 143 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 143 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 143 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 143 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 143 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 143 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 144 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop3 | a_move->coop3                      | W 1/L 0 |                        |              | 
  --- Tournament 144 closed | sack: 1 (+0) ---

T 144 step  2 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 0 |                        |              | 
T 144 step  3 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T 144 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T 144 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 144 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T 144 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 3 |                        |              | 
T 144 step  8 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 4/L 3 |                        |              | 
T 144 step  9 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 10 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 144 step 19 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T 145 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop2 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 145 closed | sack: 1 (+0) ---

T 145 step  2 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T 145 step  3 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T 145 step  4 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 2/L 2 |                        |              | 
T 145 step  5 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 2/L 3 |                        |              | 
T 145 step  6 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 2/L 4 |                        |              | 
T 145 step  7 |           BattleZone@coop2 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 2/L 4 |                        |              | 
T 145 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 145 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 2 |                        |              | 
T 145 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T 145 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 3 |                        |              | 
T 145 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 4 |                        |              | 
T 145 step 13 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 4 |                        |              | 
T 145 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 145 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 145 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 145 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 146 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop2 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 146 closed | sack: 1 (+0) ---

T 146 step  2 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T 146 step  3 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 0/L 3 |                        |              | 
T 146 step  4 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 0/L 4 |                        |              | 
T 146 step  5 |           BattleZone@coop2 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 0/L 4 |                        |              | 
T 146 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 146 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T 146 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T 146 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
T 146 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 146 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T 146 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 3 |                        |              | 
T 146 step 13 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 3 |                        |              | 
T 146 step 14 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 4 |                        |              | 
T 146 step 15 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 5/L 4 |                        |              | 
T 146 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 147 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop0 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 147 closed | sack: 1 (+0) ---

T 147 step  2 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T 147 step  3 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 3 |                        |              | 
T 147 step  4 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 4 |                        |              | 
T 147 step  5 |           BattleZone@coop0 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 0/L 4 |                        |              | 
T 147 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 147 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 2 |                        |              | 
T 147 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T 147 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 3 |                        |              | 
T 147 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 4 |                        |              | 
T 147 step 11 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 4 |                        |              | 
T 147 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 147 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 147 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 147 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 147 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 147 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 147 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T 148 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop2 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 148 closed | sack: 1 (+0) ---

T 148 step  2 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T 148 step  3 |           BattleZone@coop2 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 0/L 2 |                        |              | 
T 148 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 148 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T 148 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T 148 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
T 148 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 148 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T 148 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 2 |                        |              | 
T 148 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 3 |                        |              | 
T 148 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 4 |                        |              | 
T 148 step 13 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 5/L 4 |                        |              | 
T 148 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 148 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 148 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 148 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 5/L 4 |                        |              | 
T 149 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop0 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 149 closed | sack: 1 (+0) ---

T 149 step  2 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T 149 step  3 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T 149 step  4 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T 149 step  5 |           BattleZone@coop0 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 1/L 3 |                        |              | 
T 149 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 149 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T 149 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T 149 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T 149 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 149 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 3 |                        |              | 
T 149 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 4 |                        |              | 
T 149 step 13 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 3/L 4 |                        |              | 
T 149 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 4 |                        |              | 
T 149 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 4 |                        |              | 
T 149 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 4 |                        |              | 
T 149 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 4 |                        |              | 
T 149 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 4 |                        |              | 
T 150 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 150 closed | sack: 1 (+0) ---

T 150 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T 150 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T 150 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T 150 step  5 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 4 |                        |              | 
T 150 step  6 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 1/L 4 |                        |              | 
T 150 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 150 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 2 |                        |              | 
T 150 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T 150 step 10 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 2 |                        |              | 
T 150 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 150 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 150 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 150 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 2 |                        |              | 
T 151 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 151 closed | sack: 1 (+0) ---

T 151 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T 151 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 1 |                        |              | 
T 151 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 2 |                        |              | 
T 151 step  5 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 3/L 2 |                        |              | 
T 151 step  6 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 3/L 3 |                        |              | 
T 151 step  7 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 3/L 3 |                        |              | 
T 151 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T 151 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 2 |                        |              | 
T 151 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 3 |                        |              | 
T 151 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 4 |                        |              | 
T 151 step 12 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 0/L 4 |                        |              | 
T 151 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 0/L 4 |                        |              | 
T 151 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 0/L 4 |                        |              | 
T 151 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 0/L 4 |                        |              | 
T 151 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 0/L 4 |                        |              | 
T 151 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 0/L 4 |                        |              | 
T 152 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop2 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 152 closed | sack: 1 (+0) ---

T 152 step  2 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T 152 step  3 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 2/L 1 |                        |              | 
T 152 step  4 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 2/L 2 |                        |              | 
T 152 step  5 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 3/L 2 |                        |              | 
T 152 step  6 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 3/L 3 |                        |              | 
T 152 step  7 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 3/L 4 |                        |              | 
T 152 step  8 |           BattleZone@coop2 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 3/L 4 |                        |              | 
T 152 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 0 |                        |              | 
T 152 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T 152 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T 152 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T 152 step 13 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T 152 step 14 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 3 |                        |              | 
T 152 step 15 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 4 |                        |              | 
T 152 step 16 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 3/L 4 |                        |              | 
T 153 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop2 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 153 closed | sack: 1 (+0) ---

T 153 step  2 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T 153 step  3 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T 153 step  4 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T 153 step  5 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 4 |                        |              | 
T 153 step  6 |           BattleZone@coop2 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 1/L 4 |                        |              | 
T 153 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
